iri,label,notation,definition,altLabels,broader,narrower,related,scheme
https://linked.data.gov.au/def/borehole-purpose-wa/production-fluid-energy,production (fluid energy),PR,A well/borehole drilled to extract a fluid energy resource for commercial purposes.,,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/production-injection-fluid-energy,production/injection (fluid energy),PR/IN,"A well drilled to both produce and inject fluids, either cyclically or simultaneously.",,https://linked.data.gov.au/def/borehole-purpose-wa/exploration-exploitation-fluid-energy-resources,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/reinjection-mining,reinjection (mining),,A borehole drilled for the purpose of pumping water into an aquifer for disposal at some distance from a mine as a means of dewatering.,disposal (mining),https://linked.data.gov.au/def/borehole-purpose-wa/hydrogeology-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/relief-fluid-energy,relief (fluid energy),,"In the petroleum and geothermal industries, a relief well is drilled to intersect and remedy a geothermal well where control has been or may be lost (e.g. blowout).",,https://linked.data.gov.au/def/borehole-purpose-wa/service-fluid-energy,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/remediation,remediation,,"An environmental borehole drilled to facilitate the collection of water, soil or rock samples to investigate potential contamination and the requirements for environmental remediation (e.g. cleanup, removal, containment) needed to reverse or stop environmental damage, or as part of the remediation process (e.g. pumping out groundwater for treatment or disposal).",,https://linked.data.gov.au/def/borehole-purpose-wa/environmental,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/rescue,rescue,,"A borehole conducted during rescue operations to provide ventilation, water or food while larger holes are drilled to extract trapped miners.",,https://linked.data.gov.au/def/borehole-purpose-wa/service-mining,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/resource-definition-and-conversion-to-ore-reserves,resource definition and conversion to ore reserves,,Drilling to determine the size and grade of an orebody in order to improve confidence in the Mineral Resource and Ore Reserve classification.,,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/shot-hole,shot hole,,A borehole drilled to insert and detonate an explosive charge to generate ground vibrations. The vibrations are recorded using sensors placed at predetermined locations in the surrounding area.,seismic drilling,https://linked.data.gov.au/def/borehole-purpose-wa/geophysical-investigation,,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/geophysical-investigation,geophysical investigation,,"A borehole drilled for the examination of subsurface geophysical properties (e.g. gravitational, electrical and magnetic fields, etc.).",,,https://linked.data.gov.au/def/borehole-purpose-wa/shot-hole,,https://linked.data.gov.au/def/borehole-purpose-wa
https://linked.data.gov.au/def/borehole-purpose-wa/sterilization,sterilization,,A borehole drilled to check that there are no minerals of current and potential economic interest located below sites for proposed infrastructure.,sterilisation,https://linked.data.gov.au/def/borehole-purpose-wa/mining-development-and-production,,,https://linked.data.gov.au/def/borehole-purpose-wa
